Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
188,=,DJ Snake - Let Me Love You (w/ Justin Bieber),526,2,(x7),1188532,"-43,533",7178527,"+4,480",911043969
189,RE,Nelly Furtado - Promiscuous (w/ Timbaland),39,143,,1187075,,2379925,"+1,187,075",31326374
190,-4,Eminem - Without Me,1394,29,,1186417,"-49,254",7187744,"-9,946",1733731047
191,RE,d4vd - Here With Me,509,13,,1182369,,6225865,"-100,881",913215509
192,-15,The Chainsmokers - Closer (w/ Halsey),1554,1,(x82),1178446,"-88,151",7527919,"-17,856",1949983120
193,RE,Chezile - Beanie,149,53,,1175446,,4732191,"+1,175,446",233343640
194,RE,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),2211,1,(x16),1175144,,5896473,"+1,175,144",3495173372
195,-12,Nirvana - Come As You Are - Remastered,15,175,,1173915,"-69,530",7120736,"+1,173,915",17858882
196,RE,Billie Eilish - lovely (w/ Khalid),2541,19,,1168158,,7125862,"+20,930",3169678638
197,=,MXZI - MONTAGEM TOMADA - Slowed,14,147,,1167763,"-45,410",3582540,"+1,167,763",17392249
198,-7,Benson Boone - Slow It Down,350,26,,1165634,"-62,088",7359960,"-110,815",680912047
199,-21,FloyyMenor - PELIGROSA,227,23,,1164767,"-93,728",6010220,"+1,164,767",375372576
200,-24,Evanescence - Bring Me To Life,30,123,,1163065,"-103,839",7374306,"-4,440",37573425
